P,leaf_part,P
0.0,1,0.0
0.0,1,17.000000000000007
0.0,1,0.0
0.0,1,17.000000000000007
0.0,2,1.63427318024116
-5.555788412784627,2,12.680286440351566
0.0,3,1.63427318024116
5.555788412784627,3,12.680286440351566
-1.3188314621136263,4,0.8147637999251959
-0.9138230112472274,4,12.21295208751087
0.0,5,4.00561769052482
-4.392094701775753,5,14.26173314498881
0.0,6,4.00561769052482
4.392094701775753,6,14.26173314498881
1.3188314621136263,7,0.8147637999251959
0.9138230112472274,7,12.21295208751087
0.0,8,1.6681057294820405
-2.180694762314535,8,9.690263925469425
0.0,9,1.6681057294820403
2.180694762314534,9,9.690263925469425
0.0,10,6.924093904331214
-4.2513813899825115,10,14.547265250387952
0.0,11,6.924093904331215
4.251381389982509,11,14.547265250387953
0.0,12,1.12305113372733
-1.6672873683005185,12,6.808913348006492
0.0,13,1.1230511337273301
1.6672873683005187,13,6.808913348006492
0.28786419137811753,14,5.80296376571806
-3.823820731893654,14,11.51854474557062
0.0,15,8.63519048803032
-4.600157847901588,15,14.256750629788986
0.0,16,8.635190488030322
4.600157847901589,16,14.256750629788987
-0.2878641913781176,17,5.8029637657180615
3.823820731893654,17,11.518544745570622
-2.439645997402896,18,5.429893327132165
-0.41277842177885987,18,11.24021272819498
-3.82291675906004,19,5.591213260625682
-1.526045282807853,19,12.555474239101637
3.8229167590600412,20,5.5912132606256835
1.5260452828078543,20,12.55547423910164
2.4396459974028954,21,5.429893327132166
0.4127784217788601,21,11.24021272819498
0.0,22,9.180329812487988
-4.483536028876731,22,14.142118917523167
0.0,23,9.180329812487987
4.483536028876724,23,14.142118917523165
0.0,24,11.145470611476911
-3.9429883313026046,24,15.639926709453373
0.0,25,11.145470611477101
3.942988331302928,25,15.639926709453652
-7.648987264814563,26,9.635376606924023
-4.949678584447776,26,17.028132175161932
0.0,27,9.34091089502455
-5.3959904922718,27,14.033027063235584
0.0,28,12.584546799266555
5.653122455239611,28,12.52290683816189
7.648987264791648,29,9.635376606895164
4.949678584419067,29,17.02813217514333
-4.253160696511797,30,8.03945001968049
-2.1954437707913015,30,12.856357723735615
0.0,31,9.822314328046152
-5.960370083665155,31,14.464711120536862
2.8497082165973793,32,5.651364887467082
-4.540376062433453,32,16.49110214014736
0.0,33,12.752680721991727
-5.715706043302806,33,17.299256984561396
0.0,34,12.752680721985834
5.7157060432736175,34,17.29925698454413
-2.8497082165998586,35,5.651364887471198
4.540376062419094,35,16.491102140138384
0.0,36,9.52148939038692
5.960370083665544,36,14.16388618287779
4.253160696511797,37,8.039450019680492
2.1954437707912997,37,12.856357723735616
-4.428863481623502,38,7.447247696796694
-2.0650005774540063,38,12.616951487191102
-5.165644941051924,39,10.042839974518191
-4.687055620833225,39,13.19122276500497
0.0,40,13.05844211488207
-5.567274437470809,40,17.288242631601424
0.0,41,13.058442114876222
5.567274437441851,41,17.288242631584037
5.122463735365378,42,9.958888804128918
4.115437428857435,42,13.427448597539364
4.428863481623503,43,7.447247696796695
2.065000577454006,43,12.616951487191104
-0.5386057243905104,44,1.3237467800537666
0.19770157654300577,44,4.147370543332129
-3.068040873242155,45,9.397508560203889
-1.6160371919707353,45,12.522812469310798
0.0,46,13.255557508922056
-6.589897012663764,46,17.6561270880752
0.0,47,13.364221086684298
-5.416011710581227,47,17.281120456742784
0.0,48,13.364221086678496
5.416011710552479,48,17.281120456725294
0.0,49,17.93277584147527
6.684580418604902,49,16.55336898057459
0.0,50,14.688353038290723
5.288035162863779,50,13.964286916933736
3.286788769693783,51,10.06754045168206
1.1183907461003153,51,11.811492218336516
0.5386057243905104,52,1.3237467800537668
-0.19770157654300438,52,4.14737054333213
1.5266229334968529,53,7.697659714883546
-3.18912806583411,53,12.283806644143175
-4.480904310781798,54,7.897867128155642
