P,leaf_part,P
0.0,0,0.0
-0.05181901173265409,0,1.40259212504016
-0.10363802346530818,0,2.80518425008032
-0.19770157654300438,0,4.14737054333213
-0.8477352534482558,0,5.264492078393054
-1.6672873683005185,0,6.808913348006492
-1.4853100434750288,0,7.53854425828804
-2.180694762314535,0,9.690263925469425
-1.29413269834426,0,10.437760202697806
-0.41277842177885987,0,11.24021272819498
-1.8584436760996974,0,11.384213582559443
-2.539206809947491,0,11.4784624223068
-2.928994255633242,0,11.493660633975285
-1.309325060131689,0,11.502375245882394
-3.823820731893654,0,11.51854474557062
-0.2676145173143745,0,11.520047160891963
-2.8032787213547654,0,11.55957117434448
-1.5480400594428796,0,11.567519941570719
-1.6178970046069554,0,11.570948924564888
-3.4871439881511517,0,11.663385647575161
-4.282651413514423,0,11.67952772780174
-2.9483634526059577,0,11.688129115674196
-1.614075491697492,0,11.69673050354665
-2.44008805637872,0,11.733866929616399
-3.0177109106251194,0,11.816447103967343
-2.6995688019187893,0,11.890196074725221
-3.874304999463666,0,11.95373424737838
-1.9875312533123721,0,12.028256321567113
-2.2863026993343616,0,12.032033809120573
-0.9138230112472274,0,12.21295208751087
-3.18912806583411,0,12.283806644143175
-1.3412855402419332,0,12.288181143616143
-1.3895677068636447,0,12.31691551042669
-2.6784053886644816,0,12.338302622133975
-3.967243070465318,0,12.35968973384126
-2.9624227964281413,0,12.386885150464225
-3.810978871010604,0,12.40019617463092
-2.617113171616185,0,12.403113136592173
-1.5374722499915896,0,12.403378736004877
-2.2999740193418594,0,12.406036453997228
-3.7401222410740074,0,12.479299735754955
-1.804793236339331,0,12.486462313052144
-1.6160371919707353,0,12.522812469310798
-2.269309249853156,0,12.536072931436834
-2.226192079198135,0,12.55537593911081
-1.526045282807853,0,12.555474239101637
-1.9971877299303429,0,12.558407070460763
-3.017432244877119,0,12.559940984970032
-1.2055583231817506,0,12.565982396693647
-3.276357798860563,0,12.601510710531723
-2.1138781509636857,0,12.605591003925362
-1.0733261463295043,0,12.611199644528067
-2.0650005774540063,0,12.616951487191102
-3.3145572795570653,0,12.645743042439817
-2.9751037513643697,0,12.653348721329435
-5.555788412784627,0,12.680286440351566
